id,title,price,volume,type,alcohol,sweet,sour,body,cool,food,material,company,link,flavour_type
237,선호 생막걸리,"1,700",750ml,탁주,6,2,3,3,3,"달콤하고 매운 음식, 닭도리탕, 감자탕","국내산 쌀, 누룩, 효모, 정제효소, 천연감미료, 정제수",김포금쌀탁주영농조합법인,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181013060525629_3F1OK8L05.jpg%2Ffe87_313_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,1
238,설성 만월 막걸리,"4,000",750ml,탁주,6,2,3,3,2,새우 간장 절임,"정제수, 유기농쌀국내산, 누룩, 유기농올리고당 등",병영주조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170113200801672_EP3U3EP0J.jpg%2Ffe87_057_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
239,설하담,"7,400",950ml,탁주,8,3,1,2,4,양념된 돼지고기,"국내산 멥쌀 100%, 개량 누룩, 정제수, 이산화탄소",리큐랩주식회사,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20190726163453158_PCRO5EQ00.jpg%2Ffe87_388_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,3
240,성포 생막걸리,"1,100",750ml,탁주,6,3,3,3,3,"미나리전, 무침","쌀(국내산), 소맥분(미국산), 전분당, 정제수, 무농약 미나리추출액, 정제효소, 종국, 효모, 아스파탐",성포양조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824181948661_RWKY053PU.jpg%2Ffe87_463_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,3
241,세종 쌀막걸리,"1,500",750ml,탁주,6,3,1,3,3,육회,국내산 쌀,조은술 세종,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170224103944606_MO8J3ME6Q.jpg%2Ffe87_020_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
242,세종대왕어주 탁주,"16,900",500ml,탁주,13,3,3,2,1,매운 갈비찜,"쌀(국내산), 누룩, 정제수",장희,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824171105629_VRT6QDXNZ.jpg%2Ffe87_437_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
243,세종청주생막걸리,"1,500",750ml,탁주,6,3,2.5,3,1,,"쌀, 소맥분",조은술 세종,https://dbscthumb-phinf.pstatic.net/3002_000_1/20140522145157473_3KEKZ684Z.jpg/313_d1.jpg?type=m251&wm=Y,4
244,소백산 검은콩 막걸리,"3,000",1500ml,탁주,6,3,1,3,1,두부요리,쌀,대강양조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170224173113670_EX0LST65L.jpg%2Ffe87_097_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,4
245,소백산 생 막걸리,"1,980",1700ml,탁주,6,2,3,2,2,버섯전골,쌀,대강양조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170113200915723_8UAL5M7DW.jpg%2Ffe87_059_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
246,소양강 생 막걸리,"1,200",750ml,탁주,6,1,3,3,2,황태구이,"백미, 소맥분, 정제수, 팽화미, 아스파탐, 물엿, 정제수","소양강도가(구, 천정양조장)",https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170224173530761_S3FIN8O8J.jpg%2Ffe87_055_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,1
