title,price,volume,type,alcohol,food,sweet,sour,body,cool,meterial,company,flavour_type,id
백련 생막걸리 misty (미스티),3000,750ml,탁주,7,양념한 생선찜,2,3,4,4,"백미, 정제수, 물엿, 과당, 누룩, 백련잎, 누룩 등",신평양조장,4,118
백련 생막걸리 snow (스노우),1600,750ml,탁주,6,숯불바베큐,2,2,2,4,"백미, 연잎, 정제수, 종국, 효모, 아스파탐, 물엿 등",신평양조장,4,119
백련 생막걸리 snow(스노우),1600,750ml,탁주,6,숯불바베큐,2,2,2,4,"백미, 연잎, 정제수, 종국, 효모, 아스파탐, 물엿",신평양조장,4,120
백운 복분자 와인,7000,360ml,기타주류,11,중국음식,2,2,1,1,"쌀, 토종 복분자과즙",백운주가,2,121
백운 복분자주,7000,360ml,기타주류,13,탕수육,3,2,2,2,"쌀, 토종 복분자과즙",백운주가,2,122
백이주,30000,800ml,과실주,35,"김치찜, 탕, 찌개류",2,2,3,1,"쌀(국산), 홍마늘액(국산), 감초(국산), 개량누룩(국산), 효모, 정제효소제, 정제수, 밀함유",농업회사법인(주)세찬,1,123
백자주,18000,500ml,탁주,10,"골뱅이무침, 소라무침",3,3,3,2,"국내산 찹쌀, 멥쌀, 잣, 누룩, 정제수",농업회사법인㈜산수,4,124
뱅꼬레 레드와인,25000,375ml,과실주,12,"불고기, 수육, 어복쟁반",3,4,2,2,양조용포도(영천),한국와인,4,125
뱅꼬레 로제와인,23000,375ml,과실주,11.5,한정식,4,3,2,3,양조용포도(영천),한국와인,4,126
뱅꼬레 화이트와인,23000,375ml,과실주,11,"샐러드, 카르파쵸, 가벼운 튀김류",4,3,2,3,양조용포도(경북 영천),한국와인,4,127
베베마루 캠벨로제 스위트,20000,375ml,과실주,10,와인에 재워 놓은 붉은 고기,2,2,3,1,포도(캠벨얼리),월류원,1,128
별바랑,27000,375ml,과실주,17.5,모짜렐라치즈,4,3,2,3,"국내산 찹쌀, 국내산 멥쌀, 누룩, 정제수",금계당,4,129
병영설성 동동주,2500,1700ml,탁주,6,"묵은 김치 볶음, 담치국, 두부김치",2,2,2,3,"쌀(국내산), 전분, 효모, 누룩, 정제수",병영양조장,2,130
병영설성 생막걸리,3500,750ml,탁주,6,"새우 간장 절임, 남도 한정식",3,2,2,2,"쌀(국내산), 효모, 누룩, 정제수",병영양조장,2,131
병영소주,59400,700ml,증류주,40,명란젓,3,0,2,3,"정제수, 보리증류식 소주원액",병영주조장,2,132
복분자음,6000,375ml,과실주,12,삼계탕,2,2,3,1,"복분자(국내산), 정제수",배상면주가,1,133
복순도가 손막걸리,12000,935ml,탁주,6.5,생선 조림,2,3,2,5,"정제수, 쌀(국산), 곡자(밀), 물엿, 설탕, 아스파탐(감미료,페닐알라닌함유)",복순도가,4,134
복순도가 탁주,12000,935ml,탁주,6.5,생선 조림,2,3,2,5,"정제수, 쌀(국산), 곡자(밀)",복순도가,4,135
볼빨간막걸리 10,7000,500ml,탁주,10,양지수육무침,1,5,4,4,"찹쌀(국내산), 누룩, 정제수",농업회사법인 (주)벗드림,4,136
볼빨간막걸리 7,5000,500ml,탁주,7,오징어무침,1,4,2,3,"정제수, 찹쌀, 누룩",벗드림양조장,3,137
봉하쌀 생막걸리,2000,750ml,탁주,6,홍어무침,1,2,2,3,"쌀(국내산), 정제효소, 젖산, 효모, 아스파탐, 정제수",농업회사법인 (주)봉하마을,3,138
부안참뽕막걸리,2000,950ml,탁주,6,장어 구이,2,1,3,3,"쌀(국내산) 오디과즙,스테비올배당체,스쿠랄로스",내변산(동진주조),2,139
부자 10,5000,375ml,탁주,10,중국음식,4,1,4,1,경기미 100%,배혜정도가,1,140
부자 새색시,3000,500ml,탁주,9,,3,3.5,2.5,1,"쌀, 누룩, 포도즙",배혜정도가,3,141
붉은 원숭이,7000,375ml,탁주,10.8,바비큐,4,2,2,2,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",술샘,2,142
블루베리 이야기,6000,375ml,과실주,12,숯불구이,3,1,3,1,"국내산 산머루 50%, 블루베리 50%",농업회사법인산들벗(주),1,143
사미인주,32000,750ml,탁주,8,닭강정,2,2,3,4,"유기농 햅쌀, 벌꿀",청산녹수,4,144
산내울 복분자주,20000,750ml,리큐르,16,탄산수와 섞어 마실 것을 추천,4,4,3,3,"복분자, 설탕, 주정, 정제수, 과당",거창사과원예농협,4,145
산내울 사과애주,14000,750ml,리큐르,16,탄산수와 섞어 마실 것을 추천,4,4,2,3,"사과, 설탕, 주정, 정제수, 과당",거창사과원예농협,4,146
산막 생유 막걸리,1200,750ml,탁주,6,닭갈비,1,3,2,3,"국내산 쌀, 소맥분, 종국, 효모",농업회사법인 신탄진주조(주),3,147
산머루 크라테 드라이,48000,750ml,과실주,11.5,"스테이크, 고기요리, 꼬치구이, 찜요리",2,2,3,3,산머루,수도산와이너리,4,148
산머루 크라테 로제,18000,375ml,과실주,11.5,불고기,4,1,3,3,산머루,수도산와이너리,1,149
산머루 크라테 스위트,48000,750ml,과실주,11.5,양념된 두부조림,4,2,1,3,산머리(국내산),수도산와이너리,2,150
산정호수 동정춘막걸리,20000,720ml,탁주,6,떡,5,1,4,4,"국내산 쌀, 누룩, 정제수",(주)농업회사법인 술빚는 전가네,4,151
삼선,15000,500ml,탁주,10,녹두전,1,4,2,2,"국내산쌀, 누룩, 정제수",농업회사법인 두루(주),3,152
삼양춘 생약주,20000,500ml,약주,15,흰살 생선 찜,2,1,2,1,"강화섬쌀, 전통누룩, 정제수",삼양춘,2,153
생 쌀 솔바람 생막걸리,2000,500ml,탁주,6,,3,2.5,3,3,국내산 쌀,조선양조,4,154
생 청주 막걸리,1500,750ml,탁주,6,더덕구이,2,1,3,3,"쌀, 소맥분, 국, 조제종국, 효모, 물엿 등",조은술 세종,2,155
생탁주,12000,750ml,탁주,6,"닭도리탕, 양념된 고기류",1,3,3,3,"쌀, 올리고당, 사과농축액, 아스파탐, 효모, 정제수",청산녹수,3,156
샹스프랑보아즈,150000,500ml,과실주,13,"양념 소갈비, 육전",1,4,4,2,"복분자(고창산), 구연산, 과당, 구연산, 아스파탐, 주정, 정제수",(주)선운산복분자주 흥진,3,157
서주 16%,45000,400ml,약주,16,기름진 감자전,3,2,3,3,"백미(국내산), 감자(국내산), 누룩, 효모, 정제수",오대서주양조,4,158
석로주,34000,720ml,약주,13,버섯 전골,1,1,4,1,"국내산 쌀, 석이버섯, 누룩, 효모, 정제수",석이원주조,1,159
석탄주 약주,7000,500ml,약주,15,"참치 뱃살, 수육",1,3,3,2,"국내산 찹쌀, 누룩, 정제수",케이소주,3,160
석탄주 탁주,6000,500ml,탁주,15,샐러드,2,3,4,3,"국내산 찹쌀, 누룩, 정제수",케이소주,4,161
선운산 복분자와인,6000,300ml,과실주,13,장어구이,4,4,2,3,"복분자(고창산), 구연산, 과당, 구연산, 아스파탐, 주정, 정제수",㈜선운산복분자주 흥진,4,162
선운산 복분자주,25000,375ml,과실주,16,"장어구이, 디저트, 치즈",4,4,2,3,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",㈜선운산복분자주 흥진,4,163
선운산 복분자주 프리미엄,40000,700ml,과실주,19,한우 수육,4,3,2,3,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",(주)선운산복분자주 흥진,4,164
선운산의 아침 복분자 막걸리,28000,750ml,탁주,6,양념을 강하게 하지 않은 생선찜,2,2,2,1,"복분자, 쌀, 효모, 국, 과당, 구연산, 젖산, 정제수",국순당고창명주㈜,2,165
선운산의 아침 복분자막걸리,28000,750ml,탁주,6,생선찜,2,2,2,1,"복분자, 쌀, 효모, 국, 과당, 구연산, 젖산, 정제수",㈜선운산복분자주 흥진,2,166
선호 생막걸리,1700,750ml,탁주,6,"달콤하고 매운 음식, 닭도리탕, 감자탕",2,3,3,3,"국내산 쌀, 누룩, 효모, 정제효소, 천연감미료, 정제수",김포금쌀탁주영농조합법인,4,167
설성 만월 막걸리,4000,750ml,탁주,6,새우 간장 절임,2,3,3,2,"정제수, 유기농쌀국내산, 누룩, 유기농올리고당 등",병영주조장,3,168
설하담,7400,950ml,탁주,8,양념된 돼지고기,3,1,2,4,"국내산 멥쌀 100%, 개량 누룩, 정제수, 이산화탄소",리큐랩주식회사,2,169
성포 생막걸리,1100,750ml,탁주,6,"미나리전, 무침",3,3,3,3,"쌀(국내산), 소맥분(미국산), 전분당, 정제수, 무농약 미나리추출액, 정제효소, 종국, 효모, 아스파탐",성포양조장,4,170
세종 쌀막걸리,1500,750ml,탁주,6,육회,3,1,3,3,국내산 쌀,조은술 세종,2,171
세종 알밤주,1500,750ml,기타주류,6,야채 샐러드,4,1,2,3,"정제수, 백미, 소맥분, 알밤(국내산), 전분당, 효모, 젖산",조은술 세종,2,172
세종대왕어주 약주,25900,500ml,약주,15,매콤새콤한 무침,3,1,3,1,"쌀, 누룩 정제수",장희도가,1,173
세종대왕어주 탁주,16900,500ml,탁주,13,매운 갈비찜,3,3,2,1,"쌀(국내산), 누룩, 정제수",장희,2,174
세종청주생막걸리,1500,750ml,탁주,6,,3,2.5,3,1,"쌀, 소맥분",조은술 세종,1,175
소백산 검은콩 막걸리,3000,1500ml,탁주,6,두부요리,3,1,3,1,쌀,대강양조장,1,176
소백산 생 막걸리,1980,1700ml,탁주,6,버섯전골,2,3,2,2,쌀,대강양조장,3,177
소백산 청 동동주,3000,1700ml,약주,10,파스타,2,1,4,2,"쌀, 소맥분, 누룩, 주정, 고과당, 대추 등",대강양조장,1,178
소양강 생 막걸리,1200,750ml,탁주,6,황태구이,1,3,3,2,"백미, 소맥분, 정제수, 팽화미, 아스파탐, 물엿, 정제수","소양강도가(구, 천정양조장)",3,179
솔청정막걸리,2000,750ml,탁주,6,,3.5,2,3,1,국내산 쌀,조선양조,1,180
송명섭 막걸리,3000,500ml,탁주,6,"맵고 짠 한식, 고기",1,3,3,3,"국내산쌀, 곡자, 정제수",태인합동주조장,3,181
송이주,12000,375ml,약주,13,소 등심 구이,1,4,2,1,"국내산 쌀, 송이농축액, 누룩, 정제수",내국양조,3,182
술공방 9.0 막걸리,5000,500ml,탁주,9,무침류,3,2,3,1,"정제수, 쌀(국내산), 국(쌀, 국내산), 누룩(밀)",아리랑주조,1,183
술그리다 생탁주,9000,500ml,탁주,10,"백숙, 양념되지 않은 음식",2,1,1,1,"국내산쌀, 누룩",좋은술,2,184
술아 국화주,18000,375ml,약주,15,샐러드,4,3,4,2,"국내산 찹쌀, 누룩, 건조국화꽃, 증류주, 정제수",술아원,1,185
술아 매화주,36000,375ml,약주,15,샐러드,5,3,4,2,"국내산 찹쌀, 누룩, 건조매화꽃, 증류주, 정제수",술아원,1,186
술아 순곡주,36000,375ml,약주,20,"맑은 소고기국, 미역국, 계란국",5,3,5,2,"국내산 찹쌀, 누룩, 증류주, 정제수",술아원,1,187
술아 연화주,36000,375ml,약주,15,연잎밥,5,3,4,2,"국내산 찹쌀, 누룩, 건조연화꽃, 증류주, 정제수",술아원,1,188
술아 핸드메이드 막걸리,21000,450ml,탁주,8,"샐러드, 두부",3,4,4,3,"국내산 찹쌀, 누룩, 정제수",술아원,4,189
술예쁘다 생탁주,18000,500ml,탁주,13,홍어무침,1,3,2,1,"국내산 쌀, 누룩",좋은술,3,190
술취한 원숭이,7000,375ml,탁주,10.8,생선찜,4,2,2,2,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",술샘,2,191
술헤는밤,5900,750ml,탁주,8,홍천 산나물 무침,2,4,3,2,"쌀(국내산), 누룩(국내산)",두루전통양조,3,192
스타베리오디,28000,500ml,과실주,12,나물 요리,3,4,3,3,양조용포도(영천),한국와인,4,193
시나브로 드 글로리아,25000,750ml,과실주,12,"불고기, 육전, 가벼운 고기류",3,3,2,2,포도(캠벨얼리),불휘농장,4,194
시나브로 레드 드라이,25000,750ml,과실주,12,"아귀찜, 꽃게무침",2,3,3,3,캠벨얼리,불휘농장,4,195
시나브로 레드 스위트,25000,750ml,과실주,12,,3,3,2,3,포도(캠벨얼리),불휘농장,4,196
시나브로 에뚜왈 로제 스파클링,30000,750ml,과실주,5,내온 수육,2,1,4,1,포도(캠벨얼리),불휘농장,1,197
시나브로 에뚜왈 스파클링와인,30000,750ml,과실주,5,육류,3,3,2,4,포도(청수),불휘농장,4,198
신선주,19000,750ml,약주,16,불고기,3,3,2,2,"쌀, 능금, 신선초, 천궁, 구기자, 당귀솔잎, 대추, 인삼",용두산조은술,4,199
아이싱 자몽,5000,350ml,탁주,4,케잌 같은 디저트 음식,3,1,3,1,"쌀, 자몽엑기스",국순당,1,200
아이원 막걸리,1000,750ml,탁주,6,"도토리묵, 겉절이, 나물",3,3,2,3,"쌀, 밀, 입국, 누룩, 정제수",이원양조장,4,201
아황주,23000,500ml,약주,17,명란젓,1,3,3,1,"찹쌀, 멥쌀, 누룩, 정제수",최행숙전통주가,3,202
안양동동주,1100,1700ml,탁주,6,"매콤한 요리(꼬막무침, 닭볶음탕)",3,3,3,3,"국내산 햅쌀, 국내산 친환경 햇찹쌀",안양주조장,4,203
애석,30000,500ml,약주,15,"녹두전, 해물잡채",2,1,2,2,"국내산쌀, 누룩, 정제수",농업회사법인 (주)두루,2,204
애피소드 상그리아,21000,500ml,과실주,3.5,쿠키,4,4,2,4,"포도와인, 정제주정, 정제수, 포도농축액, 고과당",㈜한국애플리즈,4,205
애피소드 애플,21000,500ml,과실주,3.5,"새우, 호박, 감자, 고구마, 오징어",4,4,2,4,사과,㈜한국애플리즈,4,206
애피소드호프,21000,500ml,기타주류,3.5,"치킨, 닭강정, 튀김류",4,4,2,4,"사과과즙, 보리, 쌀, 홉",㈜한국애플리즈,4,207
야관문 쌀 막걸리,1500,750ml,탁주,6,야채 샐러드,1,3,1,2,"팽화미, 입국, 효모, 곡자(밀), 정제수, 야관문잎 줄기 추출액 등",지리산 운봉주조,3,208
양촌 생 동동주,2300,750ml,탁주,10,김치전,3,1,2,2,"정제수, 백미 효소제, 효모 등",양촌양조,2,209
양촌 생 막걸리,30000,750ml,탁주,6,두부에 겉절이 김치,2,3,2,2,"팽화미, 소맥분, 정제수, 물엿, 효소, 국 등",양촌양조,3,210
연천 연주,15000,500ml,약주,12,"수육, 육회, 해물전",2,4,3,2,"쌀(국내산), 누룩, 정제수",농업회사법인 연천양조(주),3,211
영일만친구 막걸리,15000,750ml,탁주,6,우뭇가사리 무침,2,2,2,3,"국내산 쌀, 물엿, 우뭇가사리, 효모, 조제 종국, 정제효소제, 아스파탐, 젖산",동해명주,2,212
예밀와인 레드 드라이,20000,750ml,과실주,13,고기구이,1,1,3,2,포도(캠벨얼리),예밀2리영농조합법인,2,213
예밀와인 레드 스위트,20000,750ml,과실주,12,달콤한 디저트,4,1,3,2,포도(캠벨얼리),예밀2리영농조합법인,1,214
예밀와인 로제,20000,750ml,과실주,12,케익,4,1,3,2,포도(캠벨얼리),예밀2리영농조합법인,1,215
예주,29000,750ml,과실주,15,소고기 소금구이,1,3,3,1,"복분자, 주정, 효모, 정제수",용두산조은술,3,216
옛날막걸리 古,2700,750ml,탁주,8,오리주물럭,2,2,2,1,"국내산쌀, 누룩",국순당,2,217
오매백주,5000,500ml,탁주,12,견과류,5,1,1,1,"쌀(국내산), 국, 효모, 정제수",오산양조,2,218
오메기 맑은술,25000,500ml,약주,16,나물 무침,1,5,3,1,"좁쌀, 햅쌀, 정제수, 누룩",제주고소리술익는집,3,219
오메기술,13000,375ml,약주,13,"고사리 무침, 전",2,2,3,1,"백미(국내산), 차조(국내산), 입국(국내산), 누룩, 효모",제주샘주,1,220
오목대,27000,1000ml,기타주류,5,맥주와 어울리는 기름진 음식,2,3,3,4,"보리(국내산), 맥아(국내산), 말토텍스트린, 호프펠렛, 효모, 정제효소제, 정제수",농업회사법인 동문거리양조장(주),4,221
오미자 생막걸리,2500,750ml,탁주,6.5,소고기 구이,2,3,2,2,"정제수, 백미(국내산), 입국(쌀, 밀), 올리고당, 물엿, 허브(유기농), 오미자 2.4%(국내산, 문경로동산), 정제효소, 아스파탐·아세셀펌칼륨(함성감미료, 메닐알라닌 함유)",문경주조,3,222
오산 막걸리,3000,500ml,탁주,6,"홍어, 오징어",2,4,3,2,"쌀(국내산), 국, 효모, 정제수",오산양조,3,223
오산막걸리,3000,500ml,탁주,6,"홍어무침, 오징어무침",2,4,3,2,"쌀(국내산), 국, 효모, 정제수",농업회사법인 오산양조㈜,3,224
오희 스파클링 막걸리,36000,500ml,탁주,8.5,장어구이,1,3,2,3,"백미, 건오미자, 조효소제, 효모, 정제수",문경주조,3,225
왕피천을 품은 미소생막걸리,1200,750ml,탁주,7,"대게, 홍게찜",3,3,2,3,"쌀, 누룩, 정제수",울진술도가,4,226
우곡생주,6500,750ml,탁주,10,불고기,4,2,5,2,"국내산 쌀, 누룩, 효모, 정제수",배혜정도가,1,227
우도땅콩전통주,4000,750ml,기타주류,6,안주 없이,4,1,3,3,"쌀, 우도땅콩",조은술 세종,1,228
우렁이쌀 손 막걸리,2600,750ml,탁주,7.5,샐러드,4,1,2,3,국내산 쌀,양촌양조,2,229
우렁이쌀 손막걸리 DRY,39000,500ml,탁주,7.5,야채 샐러드,4,1,2,3,"정제수, 찹쌀(국내산), 쌀(국내산), 효모, 종국",양촌양조,2,230
우리밀 막걸리 향수,7900,700ml,탁주,9,"도리뱅뱅이, 도토리묵, 겉절이, 나물",2,3,5,3,"쌀, 밀, 입국, 누룩, 정제수",이원양조장,4,231
울금생막걸리 정,1500,750ml,탁주,6,,3,3.5,3,3,"국내산 쌀, 국내산 울금",영덕주조,4,232
원조 한산소곡주,12000,750ml,약주,16,모시떡,3,1,2,4,"찹쌀(36%), 누룩(3%)",원조소곡주,2,233
월매 쌀막걸리(캔),1200,350ml,탁주,6,파전,2,2,1,3,"백미, 말토올리고당, 정제수",서울장수㈜,2,234
유기농 이도 42,42000,750ml,약주,42,"연어회, 해산물",3,3,2,3,"유기농쌀 (100%), 정제수, 증류원액, 국, 조제종국, 효모 등",조은술 세종,4,235
유자생막걸리,1800,750ml,탁주,5,식사(반주하기 좋은 술),2,3,1,3,"경기미 75%, 유자 국내산20% , 맥아당 5%",배혜정도가,3,236
율무 동동주,14000,750ml,탁주,14,온더록스로 한잔,2,4,4,3,"쌀(국내산), 누룩, 효모, 연천 율무, 정제수",농업회사법인 연천양조㈜,4,237
은자골 곶감 생 탁배기,1500,750ml,탁주,6,양념을 많이 하지 않은 생선회,1,1,1,3,"백미, 소맥분, 정제수, 곶감분말, 전분당, 국, 누룩, 효소, 아스파탐 등",은척 양조장,2,238
은자골 생 탁배기,1500,750ml,탁주,5,파전,1,3,3,3,국내산 쌀,은척양조장,3,239
이강주 2호,28000,750ml,리큐르,25,보쌈,2,0,2,2,"쌀, 소맥분, 정맥, 배, 생강, 계피, 울금, 꿀",전주이강주,2,240
이강주 375ml,4500,375ml,리큐르,19,보쌈,2,0,2,2,국내산 쌀,전주이강주,2,241
이동 생 쌀 막걸리,1300,750ml,탁주,6,갈비찜,1,3,2,3,"정제수, 백미, 팽화미, 입국, 아스파탐 등",이동주조,3,242
이동 쌀 막걸리,1600,1200ml,탁주,6,도토리 묵,3,1,3,1,"정제수, 백미, 팽화미, 입국, 아스파탐",이동주조,1,243
이상헌 약주,45000,500ml,약주,18,"조개탕, 꼬막무침",3,3,3,3,"아산쌀, 국(국내산 밀누룩), 정제수",이가수불,4,244
이상헌 탁주,25000,500ml,탁주,19,샐러드,2,3,3,3,"아산쌀, 국(국내산 밀누룩), 정제수",이가수불,4,245
이화백주,12000,940ml,탁주,6,"갈비찜, 해물파전, 보쌈, 족발",3,3,3,4,"정제수, 쌀(국내산), 누룩, 설탕, 물엿, 밀, 아스파탐",이화백주,4,246
이화주,6500,100ml,탁주,8,,4,1,5,0,"쌀(국내산 경기미 100%), 누룩, 정제수",술샘,1,247
인천 생 소성주,1200,750ml,탁주,6,생선회,1,2,2,1,"쌀, 팽화미, 정제수, 국, 효모, 아스파탐, 효소, 이소말토 올리고당",인천탁주,3,248
입장탁주,1200,750ml,탁주,7,버섯 전골류,2,2,2,2,국내산 쌀,(농) 입장주조㈜,2,249
자두와인 레드,22000,750ml,과실주,12,피자,2,3,2,2,피자두,자두사랑,3,250
자연담은 복분자막걸리,56000,360ml,탁주,6,"김부각, 가자미식해",2,1,1,1,"국내산 복분자(고창), 정제수",(농)국순당고창명주㈜,2,251
자희향,16000,500ml,탁주,12,해물찜,2,2,3,1,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수",자희자양,1,252
자희향 나비,8000,500ml,탁주,8,피자,2,1,2,2,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수",자희자양,2,253
장수 생막걸리,1200,750ml,탁주,6,,2,3,3,3,"백미(국내산), 말토올리고당, 홍삼분말",서울장수주식회사,4,254
장수 오미자주,5400,360ml,과실주,16.5,"버섯요리, 송이버섯 전골",3,4,3,4,"오미자(국내산), 정제수, 주정, 설탕, 효모",알에프,4,255
장홍삼 장수 막걸리,2000,750ml,탁주,6,삼겹살,1,4,1,3,"백미,말토올리고당,홍삼분말",서울장수(주),3,256
정고집 나주배 약주 9%,18000,500ml,약주,9,한우 수육,4,2,2,3,"쌀, 쌀가루(국내산), 배착즙액(나주산), 정제효소제, 종국, 젖산, 효모",남도탁주,4,257
정고집 나주쌀 생막걸리,1200,750ml,탁주,6,홍어삼합,3,3,3,3,"쌀, 쌀가루(국내산), 조제종국, 정제효소, 젖산, 아스파탐, 아세셀팜칼",남도탁주,4,258
정고집 옛날 생동동주,2500,750ml,탁주,6,"두부김치, 부침개, 감자전",3,3,3,4,"쌀, 쌀가루(국내산), 조제종국, 정제효소, 젖산, 아스파탐, 아세셀팜칼",남도탁주,4,259
젤코바 스페셜와인,17000,375ml,과실주,11.5,"불고기, 양념갈비",2,4,3,2,"국내산 산머루, MBA포도",젤코바와이너리,3,260
젤코바 프리미엄 와인,33000,500ml,과실주,12,"양념 소갈비, 육전",1,4,4,2,"국내산 산머루, MBA포도",젤코바와이너리,3,261
조선주조사,4000,300ml,약주,14,"김치찌개, 된장찌개",3,3,3,2,"쌀(국내산), 입국, 누룩, 주정, 정제수",농업회사법인 우포의아침(주),4,262
주몽 복분자주,5000,75ml,기타주류,16,케이크,3,1,3,1,"쌀, 복분자",술소리,1,263
주산지 막걸리,1200,750ml,탁주,6,양념된 고기류,2,1,2,2,"쌀(국내산), 밀가루, 누룩, 입국, 효모, 고과당, 물엿, 아스파탐, 삭카린나트륨, 정제수",청송양조장,2,264
죽향 생 막걸리,2000,750ml,탁주,6,죽순무침,1,2,1,4,"쌀(국내산), 정제효소, 젖산, 효모, 아스파탐, 정제수",농업회사법인 (주)죽향도가,2,265
줄포 생막걸리,1200,750ml,탁주,6,전류,2,2,2,3,국내산 쌀,내변산(동진주조),2,266
지란지교,15000,500ml,탁주,17,"육전, 떡볶이",4,4,4,1,"찹쌀,멥쌀,전통누룩(밀),정제수",(유)친구들의 술 지란지교,1,267
