title,price,volume,type,alcohol,food,sweet,sour,body,cool,meterial,company,flavour_type,id
해창 생막걸리 9도,6000,900ml,탁주,9,전복구이,1,1,2,2,"햅쌀, 찹쌀, 물, 누룩",해창주조장,2,310
해파랑,10000,375ml,약주,13,삼계탕,3,1,3,1,"쌀(국내산), 해방풍(국내산), 계량누룩, 젖산, 이소말토올리고당, 정제수",영덕주조,1,311
행운 생유자 동동주,1100,750ml,탁주,6,멸치양념무침,2,3,3,3,"쌀(국내산), 소맥분(미국산), 전분당, 정제수, 유자과즙, 치자, 정제효소, 종국, 효모, 젖산, 아스파탐",성포양조장,4,312
허니문와인,35000,375ml,기타주류,10,,4,2,2,2,벌꿀(국내산),아이비영농조합법인,2,313
허니비,35000,500ml,기타주류,8,"개성약과, 다식",3,1,2,1,벌꿀(국내산),아이비영농조합법인,2,314
허니비 와인,35000,500ml,기타주류,8,,3,1,2,1,국내산 벌꿀,아이비영농조합법인,2,315
호담 산양산삼 막걸리,16000,750ml,탁주,6,김치전,1,3,1,3,"쌀(경기미), 입국, 산양산삼, 정제수, 아스파탐",대농바이오우리산삼,3,316
호두땅콩막걸리,2700,750ml,기타주류,6,"땅콩, 호두 등 견과류",3,1,4,2,"물, 쌀(국내산), 고과당, 국(밀), 땅콩(국내산)",배혜정도가,1,317
호랑이 생 막걸리,2200,750ml,탁주,6,중국음식,4,1,4,2,"물, 쌀(국내산),에리스리톨, 효모, 국, 젖산, 합성향료,밀함유",배혜정도가,1,318
혼디주,8000,330ml,과실주,12,제주도 흑돼지 구이,4,3,2,3,"제주산감귤, 백설탕, 구연산, 무수아황산",㈜시트러스,4,319
홍천강 탁주,10000,500ml,탁주,11,양념갈비,2,3,2,2,"홍천 쌀, 정제수, 국(밀 누룩)",예술주조,3,320
황진이주,3500,375ml,약주,13,한우 구이,3,2,3,1,"국내산 오미자, 국내산 산수유",농업회사법인(유)술소리,1,321
희양산 막걸리 9도,8000,750ml,탁주,9,고기류,2,3,3,2,"정제수, 쌀(국내산), 누룩(국내산), 효모",두술도가,3,322
G12 골디락스,12000,500ml,탁주,12,"닭백숙, 오리백숙, 편육, 새우젓, 겉절이",2,2,3,2,"정제수, 멥쌀(국내산), 찹쌀(국내산), 누룩, 종국, 효모, 밀함유",청산녹수,3,323
The 찾을수록,9000,360ml,과실주,14,스낵,4,2,2,3,"사과와인, 정제수, 정제주정 외 제품별 농축액 (복숭아, 포도, 사과, 감귤, 생강, 커피향 등)",㈜한국애플리즈,4,324
